kbo_player_id,player_name,birth_date,professional_entry_year,official_join,official_draft,source_url,level,role,verified_through
51895,장지훈,1998-12-06,2021,21SK,21 SK 2차 4라운드 38순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51895,first_team,pitching,2025
51895,장지훈,1998-12-06,2021,21SK,21 SK 2차 4라운드 38순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51895,futures,pitching,2025
51897,조병현,2002-05-08,2021,21SK,21 SK 2차 3라운드 28순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51897,first_team,pitching,2025
51897,조병현,2002-05-08,2021,21SK,21 SK 2차 3라운드 28순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51897,futures,pitching,2025
51903,김정호,1998-07-13,2021,25NC,21 NC 2차 8라운드 76순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51903,first_team,hitting,2025
51903,김정호,1998-07-13,2021,25NC,21 NC 2차 8라운드 76순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51903,futures,hitting,2025
51907,김주원,2002-07-30,2021,21NC,21 NC 2차 1라운드 6순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51907,first_team,hitting,2025
51907,김주원,2002-07-30,2021,21NC,21 NC 2차 1라운드 6순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51907,futures,hitting,2025
51994,한재승,2001-11-21,2021,21NC,21 NC 2차 4라운드 36순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51994,first_team,pitching,2025
51994,한재승,2001-11-21,2021,21NC,21 NC 2차 4라운드 36순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51994,futures,pitching,2025
51996,오태양,2002-04-25,2021,21NC,21 NC 2차 5라운드 46순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51996,first_team,hitting,2025
51996,오태양,2002-04-25,2021,21NC,21 NC 2차 5라운드 46순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51996,futures,hitting,2025
52001,안현민,2003-08-22,2022,22KT,22 KT 2차 4라운드 38순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52001,first_team,hitting,2025
52001,안현민,2003-08-22,2022,22KT,22 KT 2차 4라운드 38순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=52001,futures,hitting,2025
52002,김병준,2003-07-03,2022,23KT,22 KT 2차 9라운드 88순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=52002,first_team,hitting,2025
52002,김병준,2003-07-03,2022,23KT,22 KT 2차 9라운드 88순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=52002,futures,hitting,2025
52060,박영현,2003-10-11,2022,22KT,22 KT 1차,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=52060,first_team,pitching,2025
52060,박영현,2003-10-11,2022,22KT,22 KT 1차,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=52060,futures,pitching,2025
